nombre,pep1,pep2,control1,control2
Sebastián Cristopher Véliz Rodríguez,60,43,65,64
Cristina Castañeda,56,54,53,65
Gloria Macarena Villalobos Montes,44,68,41,42
Erwin Hernán Tapia Toro,45,65,44,54
José Lorenzo López Miranda,70,70,58,54
Juan González Hernández,40,50,67,53
María Cecilia Vargas Lobos,50,66,50,53
Cynthia Ana Ortiz Romero,57,57,55,48
René Hernán Zamora Naranjo,60,50,53,42
Romina Ignacia Araya Cisternas,45,65,47,55
Mia Vásquez Hermosilla,55,63,64,58
Marcelo Marco Cáceres Galaz,57,42,50,48
Samantha Gloria Vega Arteaga,57,50,65,65
Lorenzo Alonso García Ibáñez,55,51,70,57
Luz Elisabeth Sanhueza Rodríguez,65,49,62,67
Leónidas Claudio Ortiz Gaete,57,51,62,45
Karla Mía Pinto Vásquez,50,42,43,54
Antonella Catalina Sáez Ortiz,67,53,54,65
Gladys Juana Rodríguez Hermosilla,70,54,63,62
Nancy Natalia Rojas Carrasco,58,46,53,47
Adolfo Kevin Gómez González,61,64,47,66
Francisca Leslie Venegas Guzmán,51,54,50,53
Susana Aliaga,66,53,70,56
Hernán Dante Aravena Troncoso,43,65,40,62
Raúl Olea Pino,51,63,61,69
Ricardo López Valladares,54,67,64,40
Javiera Carmen Bernal Huerta,70,65,61,47
Benjamín Guzmán Andrade,61,41,44,51
Benito Bruno Avendaño Andrade,58,67,60,40
Jeannette Álvarez Mendoza,46,65,40,49
Yolanda Torres Cáceres,61,52,56,60
Jacqueline Reyes Astete,45,46,62,67
Silvana Emilia Ampuero Muñoz,50,50,66,50
Renata Muñoz Yáñez,53,66,47,65
María Belén Bravo Alvarez,46,69,54,68
Mateo Luis Sepúlveda Pérez,66,40,47,47
Rosa Vásquez Ponce,68,58,66,47
Jorge Kevin Valenzuela Ibarra,65,67,54,63
Fabián Delgado Torres,45,64,41,70
Benjamín Miguel Oyarce Flores,70,62,66,70
Juan Carreño Domínguez,69,54,44,44
Jessica Cofré,54,56,61,70
Silvia Angie Astudillo Yáñez,51,59,47,50
Steven Yáñez Cáceres,40,43,45,44
Estefanía Pía Troncoso Aguirre,67,43,64,62
Luisa Constanza Sáez Lara,43,50,59,53
Margarita María Romero Acuña,58,68,50,64
Sergio Pizarro Fuentes,60,56,51,46
Daniela Paulina Villarroel Moreno,52,42,53,46
Gustavo Castillo Silva,54,46,43,45
Amanda Antonella Valdés Herrera,60,45,57,51
Esteban Chacón Vidal,43,65,43,60
Rocio Camila Gómez Córdova,48,44,50,69
Gastón Castillo Díaz,64,47,56,67
Nibaldo Gutiérrez Yáñez,58,70,64,55
Bernardo Gastón Acevedo Godoy,64,40,48,48
Marcela Alicia Villalobos Reyes,55,50,65,40
María Mariela Urbina Oyarce,68,50,67,63
Alejandrina Anita Aedo González,65,56,61,57
Mary Margarita Rojas Toledo,40,63,51,59
Pamela María Cárcamo González,62,64,47,40
Jessica Karina Valenzuela Mardones,42,62,59,45
Sergio Barría,64,47,51,63
Juan César Rojas Pizarro,49,54,54,41
Cristian Javier Oliva Pardo,41,61,65,68
César Cárcamo Méndez,68,56,42,58
Bruno Cristian Mora Rojas,58,42,65,50
María Ana Gutiérrez Moreno,46,58,53,65
Carla Martina Salas Becerra,50,56,66,40
Aníbal Iván Hernández Ortega,58,43,57,67
Eduardo Martín León Aranda,46,59,62,49
Rodrigo Pacheco-Campos Peña,44,44,53,58
María González Vergara,68,67,70,62
Dilan Matías Araya Garrido,46,64,68,67
Mauricio Luis Riveros Ulloa,54,50,45,53
Patricia Jeannette Segovia Altamirano,68,51,70,64
Sandra Inés Muñoz Fernández,44,51,69,47
José Sánchez Villarroel,54,69,64,62
Christian Vicente Andrade Gutiérrez,68,69,53,63
Norma Eva Díaz Vásquez,68,55,63,63
Juan Salazar,66,49,69,47
Alice María Navarrete Peña,53,42,69,47
Bárbara Melissa Martínez Elgueta,53,67,70,45
Francisco Joaquín Herrera Pizarro,57,58,60,56
José Carlos Correa Sáez,40,59,50,63
Renato Juan Aguirre Orellana,48,55,40,61
Cecilia María Rocha Durán,50,53,48,55
Paulo Diego Silva Pizarro,43,68,48,50
Juan Fuentealba,67,64,46,57
Karla Mariela Albornoz Mellado,62,40,65,40
Guillermo Parra López,60,62,51,44
Alejandra Yasna Matus Salinas,45,45,61,49
Franco Matías Jaramillo Villalobos,52,69,56,68
María Pacheco Norambuena,62,42,54,65
Claudia Aguilera,58,42,70,51
María Fuentes,52,69,68,62
Gonzalo Eduardo Aros Moya,43,58,58,64
Nadia Muñoz,53,42,61,43
Alex Fierro Fuentes,67,62,57,45
Catalina Muñoz,69,41,68,61
José Patricio Inostroza Ríos,45,50,41,46
Margarita Eloísa Rojas San Martín,47,56,66,62
Luis Ayala Álvarez,62,67,59,63
Alexandra Fuentes Cifuentes,46,60,60,59
Olga Nancy Astorga Saldaña,43,60,62,52
Ana Ingrid Lira Espinoza,44,61,51,66
Juan Martín Fuentes Briceño,62,67,52,62
Nancy Peña,49,61,65,42
Elena María Ramos Toro,40,50,50,54
Claudio Axel Encina Pereira,43,49,40,46
Max Pedro Arriagada Moraga,48,51,63,66
Cristian Arcos,40,48,51,69
Susana Yessenia Lizama Muñoz,60,40,54,53
Pablo Santiago Vega Toro,69,63,56,64
Benjamín Cristian Villegas Oyarzún,55,40,56,43
Diego Galaz,70,42,56,58
Liliana Amalia Espinoza Valderrama,64,43,68,52
Arsenio Cristhofer Ponce Muñoz,64,49,66,43
Ángel Astorga Arroyo,60,51,63,53
Emilia Orellana,42,58,70,51
Magdalena Rossana Saavedra Echeverría,53,42,69,50
María Mónica San Martín Pinto,57,62,64,40
Felipe Molina Contreras,59,56,50,40
Javiera Sophia Núñez Ibáñez,67,66,46,53
Nelson Ramón Cáceres Hernández,57,61,42,50
Sandra Orellana,57,48,65,70
Lidia Pamela Martínez Aravena,69,50,65,61
Patricio Miguel Rubio Rojas,68,49,40,55
Ignacio Hidalgo Acuña,65,45,41,52
Carla María Baeza Guerrero,67,49,68,62
Lorena Carmen Olivares Machuca,45,59,67,63
Daniel Pedro Córdova Villegas,63,42,65,67
Víctor Díaz,42,63,47,56
Arturo Barrientos Martínez,48,67,62,52
Hugo Fuentealba,40,52,65,56
Carlos Muñoz,68,64,67,66
Hugo Ruiz Flores,52,67,68,49
María Martina Molina Guajardo,42,41,69,43
Maite Cecilia Lizama-Véliz Mercado,70,43,60,63
Cristóbal Ríos-Reyes,67,42,47,64
Raquel Petronila Rubio Castillo,44,40,70,61
Gema Arévalo,64,47,46,60
Sofía Francisca Aravena Torres,45,64,51,60
Alejandra Castro,50,42,47,40
Pedro Benjamín Retamal Rojas,64,52,51,69
Constanza Ulloa,42,54,46,48
Oscar Bravo,57,55,60,66
Mónica Catalina Rodríguez Herrera,64,46,53,43
Valentín Riffo,46,69,66,53
Juana Claudia Fernández Herrera,65,54,58,49
Sara Victoria Morales Acuña,54,47,52,67
Viviana Valenzuela Pavez,51,65,56,48
Pedro Ramírez,64,63,59,69
Margarita Maritza Molina Campos,52,53,57,60
Deisy Bustamante,42,40,66,50
Eduardo Zurita Vargas,67,43,48,65
Margarita Oyarzún Uribe,48,56,48,60
Claudia Antonella Luengo Alegría,44,56,65,61
José Moraga Acevedo,62,53,65,54
Juan Pedro Garrido Gallardo,60,68,48,70
José Torres Fernández,42,52,48,48
Arnaldo Pizarro,65,53,40,56
Marcos Calderón,57,56,50,52
Ruth Carmen Galdames Díaz,49,45,50,70
María Urbina,58,70,45,47
Gladys Toloza,45,67,67,51
César Renzo Castro Barría,64,43,51,46
Marco Jean Medina Collao,47,53,58,44
Julia María Gutiérrez Alvarado,69,51,65,41
Eduardo Meneses Paredes,54,69,60,59
Anahí Palma González,51,67,62,42
Francisco Jorge Uribe Parra,56,61,40,55
Carlos Gómez Fuentes,61,62,67,55
María Marcia Torres Vargas,42,45,67,49
Gabriel Valenzuela Bruna,59,46,61,66
Ariel Jaime Cáceres Salas,63,63,57,49
José Alexander Ramos Valdebenito,47,49,65,44
Miguel Mauricio Meza Castro,57,54,67,44
María Cabello Méndez,64,42,69,51
José Venegas,42,67,69,40
Rosalía Ruiz Vivanco,69,45,65,58
Jorge Pacheco,44,67,41,42
Marlene Julieta Marchant González,63,63,56,45
Flor Parraguez Torres,50,63,68,62
Gloria Zepeda Yáñez,59,70,50,66
Rubén Aguirre Ruiz,42,69,40,42
Gustavo Mendoza,62,66,49,52
Maritza Jimena Guajardo Chandía,44,54,49,67
Luciano Ibarra Moreno,54,53,67,48
Sofía Cortés,55,45,44,70
Armando Figueroa,66,42,61,52
Bastián Garrido Ampuero,57,52,68,50
Paola Cecilia Sepúlveda Méndez,52,62,52,68
Dina Castillo Vásquez,41,40,62,48
Raquel Rojas Zamora,59,48,70,48
Maicol Luis Benítez Castillo,40,45,53,64
Alexis Angulo,53,65,53,45
Patricio Vásquez Gallardo,41,66,41,65
Clementina Melanie Cerda Silva,60,70,50,57
Jesús Cornelio Barrientos González,53,55,66,55
Rosa Becerra Pinilla,46,47,56,65
César Cerda Núñez,48,59,52,57
Ximena Hernández,60,61,49,43
María Cartes Aravena,67,60,53,61
Juan Thomas Cancino Zúñiga,68,42,70,50
María Mireya Vallejos Torres,67,64,65,58
Gabriel Mauricio Ulloa Garcés,65,43,56,65
Florencia Carolina Acevedo Vega,69,64,44,63
Antonia Belén Sepúlveda Reyes,52,62,42,48
Rosa Salazar Aguilera,60,44,51,44
Hernán Gustavo Valenzuela Alvarado,41,57,43,68
María Cortés Espinoza,49,48,70,46
Ema González Valdivia,53,62,61,65
Vicente Marco Castro Cartes,69,70,58,60
Claudia Godoy,69,41,69,66
Juan Néstor Silva Rojas,49,51,58,45
Aníbal García Flores,63,46,49,57
Marco Cristian Abarca Araneda,55,44,50,56
Leonor Fredes,64,57,62,64
María Sandra Ceballos Villalobos,51,46,63,57
Denisse Margarita Álvarez Alarcón,56,41,53,41
Ariela González Guzmán,40,57,41,45
Andrea Francesca Salinas Sepúlveda,60,48,65,52
Sebastián Juan Cortez Aguirre,63,48,70,48
